"Region","Region_name","sub_region","Sub_region_name","SSP","RCP","Year","UHI_cat","Heat_wave_days","HI_cat","Population","Sensitive_pop"
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2010,"With UHI",15,"""<=28""",4899047,808334.5923
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",18232381,2808705.272
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",2353921,338685.1203
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,"""<=28""",35065568,5323866.203
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",131328015,19447471.88
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",359225734,59622207.72
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",253909851,36346649.14
142,"Asia",30,"Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,"""<=28""",5505248,941618.8913
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",34546352,4997353.822
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",140847623,21315057.44
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",360049600,55789200.16
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,"""<=28""",0,0
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",13914056,2067409.676
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",172776550,25618600.48
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",51920677,7540738.844
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2010,"With UHI",15,"""<=28""",9637883,1631508.044
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",76908965,12291438.43
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",55728426,9143111.501
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",12836207,1295585.131
